p_mtorr,Te_eV,f_ion,n_m3,lam,gam,gamma_c,gam_over_gc,t_pen_periods,t_pen_ms
10.0,4.728708045015879,0.01,3.2387969650829256e+18,13.36433403090044,20.924352682628847,18.849432242567566,1.1100786704532934,42.83839511134839,0.17135358044539356
10.0,4.728708045015879,0.1,3.238796965082926e+19,14.129371286937213,2.3388537322935434,20.105623576058385,0.11632833587308536,inf,inf
10.0,4.728708045015879,1.0,3.2387969650829256e+20,15.042881287560375,0.2651059310803353,21.616420083401895,0.01226409970094429,inf,inf
10.0,10.0,1e-06,323879696508292.56,18.982948756589874,422167.44333196286,28.263994405010443,14936.581053707114,0.2346423638645624,0.0009385694554582496
10.0,10.0,1e-05,3238796965082926.0,19.675116156949958,45351.535682825735,29.452960610107922,1539.7954821309747,0.7852976443545413,0.0031411905774181652
10.0,10.0,0.0001,3.2387969650829256e+16,20.4489750587605,4898.921473665176,30.789414268849768,159.11057712525266,2.6463834049122252,0.010585533619648901
10.0,10.0,0.001,3.2387969650829254e+17,21.321972160764332,532.613452638256,32.30597990612393,16.486528320327892,9.193224047158909,0.036772896188635634
10.0,10.0,0.01,3.2387969650829256e+18,22.317259958543588,58.349767799472666,34.04624939642854,1.713838347362678,46.91070320877221,0.18764281283508885
10.0,10.0,0.1,3.238796965082926e+19,23.466344377074545,6.451315288399309,36.069991509599056,0.1788554701123915,inf,inf
10.0,10.0,1.0,3.2387969650829256e+20,24.81340753377698,0.7213237045675395,38.46172702719041,0.018754324371799573,inf,inf
17.78279410038923,0.5,1e-06,575948595630351.9,2.377211204773246,3722.9990449551283,2.6624765493460356,1398.321816531898,0.01203032758418142,4.812131033672569e-05
17.78279410038923,0.5,1e-05,5759485956303519.0,2.501572255363559,412.27166832040524,2.8017609260071863,147.14734026501583,0.04119274951968578,0.00016477099807874312
17.78279410038923,0.5,0.0001,5.759485956303518e+16,2.6477437715035137,46.18588796969184,2.9654730240839355,15.574543283515156,0.14613174453790176,0.0005845269781516071
17.78279410038923,0.5,0.001,5.759485956303519e+17,2.822950275757005,5.250054895258407,3.161704308847846,1.6605141981704088,0.7802890530582463,0.003121156212232985
17.78279410038923,0.5,0.01,5.759485956303519e+18,3.0382819737522078,0.6081539635271718,3.402875810602473,0.1787176486524494,inf,inf
17.78279410038923,0.5,0.1,5.759485956303519e+19,3.3118382809476894,0.07225961297675773,3.7092588746614124,0.019480876212327917,inf,inf
17.78279410038923,0.5,1.0,5.7594859563035184e+20,3.675692228754209,0.00890093578404605,4.116775296204715,0.0021621135825051927,inf,inf
17.78279410038923,1.057371263440564,1e-06,575948595630351.9,3.9845748822970357,10459.751661825381,4.462723868172681,2343.8043604764325,0.026102740751439518,0.00010441096300575807
17.78279410038923,1.057371263440564,1e-05,5759485956303519.0,4.17370323869851,1147.6263738434243,4.674547627342331,245.50533342108574,0.08865211481141841,0.0003546084592456736
17.78279410038923,1.057371263440564,0.0001,5.759485956303518e+16,4.3926009274237545,127.11619527005962,4.9197130387146055,25.838132075945595,0.30808756363126727,0.001232350254525069
17.78279410038923,1.057371263440564,0.001,5.759485956303519e+17,4.649998125583671,14.245016061931253,5.207997900653711,2.7352192404192808,1.306226572502265,0.005224906290009061
17.78279410038923,1.057371263440564,0.01,5.759485956303519e+18,4.958688601204324,1.6199106464743545,5.553731233348843,0.29167969756029494,inf,inf
17.78279410038923,1.057371263440564,0.1,5.759485956303519e+19,5.338337309370314,0.18774544585094105,5.978937786494753,0.031401137217888626,inf,inf
17.78279410038923,1.057371263440564,1.0,5.7594859563035184e+20,5.821092631654684,0.022323711857400237,6.519623747453247,0.003424079781616312,inf,inf
17.78279410038923,2.23606797749979,1e-06,575948595630351.9,6.703851697305435,29607.803114536186,7.985238144711778,3707.817171882838,0.05874059609340645,0.0002349623843736258
17.78279410038923,2.23606797749979,1e-05,5759485956303519.0,6.9950626115510435,3223.5959382479678,8.544137640557052,377.2874541423936,0.2007305520093236,0.0008029222080372944
17.78279410038923,2.23606797749979,0.0001,5.759485956303518e+16,7.327849950819633,353.7614647187947,9.120372147429306,38.78805151810685,0.6951299847011747,0.002780519938804699
17.78279410038923,2.23606797749979,0.001,5.759485956303519e+17,7.713152591612847,39.194148527461,9.758677627510579,4.0163380760697756,2.7259254493523755,0.010903701797409501
17.78279410038923,2.23606797749979,0.01,5.759485956303519e+18,8.166415173327957,4.393597801117846,10.492691698664533,0.4187293334537833,inf,inf
17.78279410038923,2.23606797749979,0.1,5.759485956303519e+19,8.710294563528397,0.4998308664455798,11.363256421607037,0.04398658693428408,inf,inf
17.78279410038923,2.23606797749979,1.0,5.7594859563035184e+20,9.379661560123205,0.057960446743573465,12.429743552803076,0.004663044454404902,inf,inf
